Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
9/5/15,826,770
9/4/15,1425,1512
9/3/15,1532,1627
9/2/15,1745,1867
9/1/15,1393,1483
8/31/15,1310,1513
8/30/15,672,541
8/29/15,365,334
8/28/15,1300,1353
8/27/15,2149,2187
8/26/15,2096,2235
8/25/15,2228,2245
8/24/15,1979,2093
8/23/15,1073,943
8/22/15,1116,974
8/21/15,1797,1809
8/20/15,1833,2013
8/19/15,2185,2363
8/18/15,2183,2325
8/17/15,2146,2173
8/16/15,1213,1120
8/15/15,830,872
8/14/15,1025,1037
8/13/15,2133,2295
8/12/15,2143,2260
8/11/15,2211,2319
8/10/15,1891,2007
8/9/15,1195,1750
8/8/15,1026,988
8/7/15,2000,2100
8/6/15,2090,2205
8/5/15,1971,2137
8/4/15,2283,2372
8/3/15,2068,2175
8/2/15,953,930
8/1/15,1153,1066
7/31/15,1905,1982
7/30/15,2131,2248
7/29/15,2277,2457
7/28/15,2274,2441
7/27/15,1953,2149
7/26/15,770,682
7/25/15,731,653
7/24/15,1664,1964
7/23/15,2134,2225
7/22/15,2205,2443
7/21/15,2102,2166
7/20/15,2017,2196
7/19/15,1017,946
7/18/15,1107,1088
7/17/15,1877,1936
7/16/15,2162,2262
7/15/15,2260,2426
7/14/15,2349,2446
7/13/15,1973,2096
7/12/15,1096,941
7/11/15,1068,985
7/10/15,1876,1896
7/9/15,2221,2258
7/8/15,2403,2358
7/7/15,2314,2321
7/6/15,1999,2067
7/5/15,1008,911
7/4/15,1247,1196
7/3/15,1223,1090
7/2/15,1970,1967
7/1/15,2312,2339
6/30/15,2299,2356
6/29/15,2148,2033
6/28/15,1090,1011
6/27/15,1163,1047
6/26/15,1929,1940
6/25/15,2346,2363
6/24/15,2393,2332
6/23/15,2501,2497
6/22/15,2234,2222
6/21/15,1169,1001
6/20/15,1165,1158
6/19/15,1683,1734
6/18/15,2148,2136
6/17/15,2295,2416
6/16/15,2170,2381
6/15/15,2266,2315
6/14/15,1430,1126
6/13/15,1424,1264
6/12/15,1921,1848
6/11/15,2318,2401
6/10/15,2477,2500
6/9/15,2439,2496
6/8/15,2195,2280
6/7/15,1337,1150
6/6/15,1268,1207
6/5/15,2115,2218
6/4/15,2324,2313
6/3/15,1827,1831
6/2/15,1487,1591
6/1/15,1515,1474
5/31/15,1180,1071
5/30/15,1238,1070
5/29/15,2273,2275
5/28/15,2582,2560
5/27/15,2425,2346
5/26/15,2090,2164
5/25/15,930,807
5/24/15,949,827
5/23/15,804,776
5/22/15,1835,1833
5/21/15,2415,2353
5/20/15,2293,2287
5/19/15,2428,2444
5/18/15,2410,2435
5/17/15,1095,916
5/16/15,888,767
5/15/15,2815,2238
5/14/15,1933,1878
5/13/15,1366,1341
5/12/15,1777,1876
5/11/15,1849,1827
5/10/15,1082,876
5/9/15,1435,1318
5/8/15,2248,2204
5/7/15,2525,2391
5/6/15,2176,2055
5/5/15,1323,1282
5/4/15,2266,2254
5/3/15,1257,978
5/2/15,1209,1006
5/1/15,2145,2079
4/30/15,1794,1814
4/29/15,1709,1728
4/28/15,1405,1340
4/27/15,2125,2015
4/26/15,843,723
4/25/15,876,740
4/24/15,1158,1118
4/23/15,1247,1211
4/22/15,1724,1627
4/21/15,1661,1582
4/20/15,2342,2214
4/19/15,1519,1256
4/18/15,1328,1073
4/17/15,1815,1639
4/16/15,2080,1922
4/15/15,1908,1789
4/14/15,1242,1182
4/13/15,1165,993
4/12/15,964,737
4/11/15,707,557
4/10/15,625,1594
4/9/15,1873,1797
4/8/15,2077,1274
4/7/15,1800,1248
4/6/15,1731,1224
4/5/15,934,795
4/4/15,1129,858
4/3/15,1331,1280
4/2/15,1755,1073
4/1/15,730,1697
3/31/15,563,1459
3/30/15,2014,1325
3/29/15,842,566
3/28/15,986,810
3/27/15,1634,1381
3/26/15,2059,1437
3/25/15,1225,815
3/24/15,1377,873
3/23/15,1140,889
3/22/15,588,469
3/21/15,725,654
3/20/15,1211,803
3/19/15,1650,1060
3/18/15,846,2027
3/17/15,657,1642
3/16/15,668,1956
3/15/15,132,107
3/14/15,473,402
3/13/15,1839,1130
3/12/15,1065,1849
3/11/15,571,1479
3/10/15,770,2085
3/9/15,786,2047
3/8/15,1137,969
3/7/15,1223,1058
3/6/15,1766,1036
3/5/15,1672,1077
3/4/15,1431,1398
3/3/15,1844,1101
3/2/15,688,1886
3/1/15,1003,769
2/28/15,1089,929
2/27/15,519,1219
2/26/15,1402,854
2/25/15,1527,869
2/24/15,1693,1373
2/23/15,1775,1106
2/22/15,980,840
2/21/15,898,753
2/20/15,539,1478
2/19/15,1366,855
2/18/15,1854,1073
2/17/15,1839,1080
2/16/15,1180,1031
2/15/15,1001,835
2/14/15,794,671
2/13/15,1567,892
2/12/15,1679,1018
2/11/15,1694,1114
2/10/15,1176,1340
2/9/15,631,1473
2/8/15,840,682
2/7/15,339,290
2/6/15,954,657
2/5/15,1066,628
2/4/15,1424,827
2/3/15,1422,912
2/2/15,1153,751
2/1/15,390,318
1/31/15,663,573
1/30/15,1363,1249
1/29/15,1607,1454
1/28/15,1572,1391
1/27/15,1561,1002
1/26/15,2038,1121
1/25/15,1262,893
1/24/15,652,511
1/23/15,1114,663
1/22/15,1368,815
1/21/15,1602,950
1/20/15,1588,1339
1/19/15,1049,933
1/18/15,249,222
1/17/15,318,274
1/16/15,1306,836
1/15/15,1213,685
1/14/15,1617,1006
1/13/15,1757,1009
1/12/15,1698,972
1/11/15,448,362
1/10/15,389,382
1/9/15,1326,1164
1/8/15,1651,959
1/7/15,1817,1008
1/6/15,1731,994
1/5/15,1145,678
1/4/15,165,174
1/3/15,452,365
1/2/15,643,571
1/1/15,390,321
12/31/14,713,618
12/30/14,756,744
12/29/14,821,820
12/28/14,352,292
12/27/14,281,262
12/26/14,485,514
12/25/14,253,198
12/24/14,430,383
12/23/14,730,670
12/22/14,1132,1124
12/21/14,454,390
12/20/14,216,188
12/19/14,953,917
12/18/14,1229,712
12/17/14,587,1392
12/16/14,1420,1004
12/15/14,548,1735
12/14/14,677,555
12/13/14,641,562
12/12/14,1181,1120
12/11/14,422,1199
12/10/14,1208,749
12/9/14,1200,919
12/8/14,999,1390
12/7/14,628,566
12/6/14,478,424
12/5/14,944,984
12/4/14,951,1145
12/3/14,1019,1275
12/2/14,1037,1102
12/1/14,944,865
11/30/14,243,250
11/29/14,169,176
11/28/14,171,153
11/27/14,295,205
11/26/14,1162,1077
11/25/14,1078,873
11/24/14,1367,1051
11/23/14,425,362
11/22/14,550,504
11/21/14,899,859
11/20/14,1208,1517
11/19/14,1260,1575
11/18/14,1404,1429
11/17/14,1524,1174
11/16/14,530,474
11/15/14,590,493
11/14/14,1206,971
11/13/14,1244,1372
11/12/14,1258,1484
11/11/14,1218,1573
11/10/14,1473,1781
11/9/14,444,308
11/8/14,608,1246
11/7/14,1252,1826
11/6/14,1153,1095
11/5/14,1219,1553
11/4/14,1425,1365
11/3/14,1284,1219
11/2/14,591,481
11/1/14,713,581
10/31/14,1006,932
10/30/14,1226,1166
10/29/14,1491,1905
10/28/14,1143,1118
10/27/14,1453,1877
10/26/14,507,409
10/25/14,372,368
10/24/14,1208,1570
10/23/14,1192,1189
10/22/14,1113,974
10/21/14,1331,1633
10/20/14,1314,1544
10/19/14,1254,994
10/18/14,795,583
10/17/14,1236,973
10/16/14,2126,1503
10/15/14,1415,1140
10/14/14,1647,1550
10/13/14,1967,1388
10/12/14,839,720
10/11/14,648,483
10/10/14,1742,1215
10/9/14,2106,1557
10/8/14,2158,1622
10/7/14,2211,1653
10/6/14,2281,1793
10/5/14,1212,950
10/4/14,1060,880
10/3/14,2218,1491
10/2/14,2232,1664
10/1/14,2174,1663
9/30/14,2049,1513
9/29/14,1561,1474
9/28/14,993,825
9/27/14,1259,1066
9/26/14,1336,1175
9/25/14,1504,1458
9/24/14,1117,1049
9/23/14,1901,1515
9/22/14,2116,1670
9/21/14,1165,1052
9/20/14,1154,1071
9/19/14,1893,1841
9/18/14,1616,1656
9/17/14,1861,1864
9/16/14,2247,2091
9/15/14,2614,1836
9/14/14,1142,1039
9/13/14,1190,1177
9/12/14,1986,1917
9/11/14,1916,2126
9/10/14,1695,2320
9/9/14,2282,1706
9/8/14,2151,1658
9/7/14,1204,1010
9/6/14,1267,1133
9/5/14,2122,2065
9/4/14,2478,2462
9/3/14,2164,1957
9/2/14,1804,1689
9/1/14,1256,1100
8/31/14,951,869
8/30/14,456,403
8/29/14,1546,1642
8/28/14,2208,2201
8/27/14,2501,2545
8/26/14,2727,2824
8/25/14,2479,2504
8/24/14,1281,1138
8/23/14,1303,1127
8/22/14,1873,1962
8/21/14,2176,2148
8/20/14,2061,2128
8/19/14,2435,2499
8/18/14,2214,2422
8/17/14,1293,1153
8/16/14,1218,1166
8/15/14,1490,1632
8/14/14,2009,2020
8/13/14,1613,1673
8/12/14,1889,1878
8/11/14,2110,2215
8/10/14,1380,1170
8/9/14,1289,1140
8/8/14,1901,2055
8/7/14,2261,2292
8/6/14,2367,2411
8/5/14,2392,2427
8/4/14,2299,2391
8/3/14,1330,1187
8/2/14,1136,974
8/1/14,2052,2054
7/31/14,2405,2430
7/30/14,2485,2574
7/29/14,2606,2642
7/28/14,2431,2365
7/27/14,1419,1208
7/26/14,1488,1222
7/25/14,2100,1972
7/24/14,1516,1486
7/23/14,993,996
7/22/14,2416,2362
7/21/14,2285,2240
7/20/14,809,726
7/19/14,1059,1061
7/18/14,2099,2036
7/17/14,2310,2225
7/16/14,2482,2527
7/15/14,2476,2465
7/14/14,2216,2195
7/13/14,1264,1034
7/12/14,1244,1236
7/11/14,2186,1982
7/10/14,2478,2322
7/9/14,2591,2544
7/8/14,2609,2606
7/7/14,2254,2202
7/6/14,1577,1305
7/5/14,1004,972
7/4/14,1545,1739
7/3/14,1864,1895
7/2/14,2313,2429
7/1/14,2646,2501
6/30/14,2403,2399
6/29/14,1262,1050
6/28/14,923,857
6/27/14,1456,1415
6/26/14,1948,1909
6/25/14,2188,2344
6/24/14,2206,2136
6/23/14,2211,2266
6/22/14,1411,1303
6/21/14,1510,1694
6/20/14,1902,1888
6/19/14,2248,2164
6/18/14,2380,2270
6/17/14,2075,2032
6/16/14,1689,1672
6/15/14,720,547
6/14/14,955,818
6/13/14,1131,1135
6/12/14,2098,1979
6/11/14,2654,2542
6/10/14,2253,2277
6/9/14,2040,2088
6/8/14,1900,1647
6/7/14,1529,1278
6/6/14,2200,2182
6/5/14,2322,2353
6/4/14,2463,2400
6/3/14,2371,2299
6/2/14,2427,2487
6/1/14,1438,1163
5/31/14,1609,1278
5/30/14,2437,2432
5/29/14,2300,2287
5/28/14,2078,1930
5/27/14,2562,2470
5/26/14,1260,1029
5/25/14,670,564
5/24/14,1124,1031
5/23/14,1308,1248
5/22/14,2473,2437
5/21/14,2666,2563
5/20/14,2843,2835
5/19/14,2380,2322
5/18/14,1089,848
5/17/14,1116,925
5/16/14,3143,2599
5/15/14,2657,2643
5/14/14,3035,2852
5/13/14,3080,3008
5/12/14,2727,2705
5/11/14,1300,1076
5/10/14,967,758
5/9/14,1556,1480
5/8/14,1653,1577
5/7/14,2868,2587
5/6/14,2421,2215
5/5/14,1718,1583
5/4/14,331,289
5/3/14,626,531
5/2/14,2402,2206
5/1/14,3063,2874
4/30/14,2688,2479
4/29/14,2472,2331
4/28/14,1950,1808
4/27/14,676,726
4/26/14,1048,1001
4/25/14,1688,1506
4/24/14,1270,1241
4/23/14,1465,1367
4/22/14,1250,1173
4/21/14,1740,1661
4/20/14,908,826
4/19/14,489,417
4/18/14,1462,1468
4/17/14,883,867
4/16/14,1068,1065
4/15/14,1657,1549
4/14/14,2049,1957
4/13/14,1486,1161
4/12/14,1170,1015
4/11/14,1755,1680
4/10/14,2033,1907
4/9/14,1914,1914
4/8/14,1441,1365
4/7/14,2208,2111
4/6/14,896,647
4/5/14,569,475
4/4/14,1415,1402
4/3/14,1326,1297
4/2/14,1947,1725
4/1/14,1936,1855
3/31/14,1712,1724
3/30/14,778,542
3/29/14,313,258
3/28/14,779,746
3/27/14,1239,1118
3/26/14,1167,1179
3/25/14,1031,1056
3/24/14,1843,1793
3/23/14,1075,888
3/22/14,794,710
3/21/14,1345,1307
3/20/14,1437,1254
3/19/14,1109,1083
3/18/14,1419,1383
3/17/14,1395,1414
3/16/14,215,160
3/15/14,634,543
3/14/14,1129,1087
3/13/14,1694,1619
3/12/14,1912,1753
3/11/14,1759,1657
3/10/14,1067,1078
3/9/14,648,494
3/8/14,380,346
3/7/14,1311,1249
3/6/14,921,880
3/5/14,954,920
3/4/14,1055,998
3/3/14,903,817
3/2/14,244,187
3/1/14,588,401
2/28/14,1468,1361
2/27/14,1444,1277
2/26/14,1510,1450
2/25/14,1321,1242
2/24/14,804,753
2/23/14,381,310
2/22/14,343,281
2/21/14,929,960
2/20/14,1120,1094
2/19/14,1092,1075
2/18/14,749,776
2/17/14,495,533
2/16/14,274,211
2/15/14,364,294
2/14/14,906,880
2/13/14,1211,1178
2/12/14,1056,1083
2/11/14,1031,993
2/10/14,727,701
2/9/14,105,116
2/8/14,440,355
2/7/14,822,750
2/6/14,807,755
2/5/14,1257,1331
2/4/14,1042,1049
2/3/14,1138,1152
2/2/14,600,495
2/1/14,650,484
1/31/14,1048,987
1/30/14,1104,1125
1/29/14,998,901
1/28/14,1254,1212
1/27/14,1255,1244
1/26/14,748,681
1/25/14,800,641
1/24/14,1333,1188
1/23/14,1347,1302
1/22/14,1381,1311
1/21/14,1352,1328
1/20/14,949,925
1/19/14,444,378
1/18/14,644,491
1/17/14,1218,1092
1/16/14,1351,1290
1/15/14,1400,1372
1/14/14,1419,1389
1/13/14,1279,1251
1/12/14,370,285
1/11/14,235,188
1/10/14,964,816
1/9/14,1027,1093
1/8/14,998,950
1/7/14,1071,1011
1/6/14,1155,1149
1/5/14,665,486
1/4/14,657,515
1/3/14,1079,948
1/2/14,931,934
1/1/14,498,416
12/31/13,710,709
12/30/13,865,857
12/29/13,388,296
12/28/13,483,392
12/27/13,556,510
12/26/13,607,583
12/25/13,221,150
12/24/13,603,479
12/23/13,709,708
12/22/13,208,192
12/21/13,310,210
12/20/13,369,370
12/19/13,1063,1012
12/18/13,1079,1092
12/17/13,1138,1094
12/16/13,1288,1212
12/15/13,436,319
12/14/13,491,393
12/13/13,878,891
12/12/13,988,946
12/11/13,1094,1042
12/10/13,967,903
12/9/13,906,887
12/8/13,243,230
12/7/13,321,270
12/6/13,861,833
12/5/13,988,950
12/4/13,1099,979
12/3/13,1125,1086
12/2/13,1199,1084
12/1/13,383,298
11/30/13,442,423
11/29/13,523,481
11/28/13,311,271
11/27/13,1169,1082
11/26/13,1317,1224
11/25/13,1335,1274
11/24/13,644,497
11/23/13,686,524
11/22/13,1236,1094
11/21/13,1275,1230
11/20/13,1445,1389
11/19/13,1166,1143
11/18/13,1066,1046
11/17/13,539,427
11/16/13,605,516
11/15/13,1029,1034
11/14/13,1318,1273
11/13/13,1578,1489
11/12/13,1228,1188
11/11/13,1298,1363
11/10/13,505,485
11/9/13,644,549
11/8/13,1361,1271
11/7/13,853,856
11/6/13,1473,1445
11/5/13,1412,1377
11/4/13,1544,1514
11/3/13,708,613
11/2/13,344,326
11/1/13,1457,1355
10/31/13,1307,1266
10/30/13,1500,1454
10/29/13,1906,1446
10/28/13,1679,1649
10/27/13,416,362
10/26/13,727,640
10/25/13,1252,1183
10/24/13,1624,1391
10/23/13,1462,1622
10/22/13,1442,1720
10/21/13,1532,1474
10/20/13,576,536
10/19/13,624,510
10/18/13,1538,1412
10/17/13,1722,1529
10/16/13,1743,1597
10/15/13,1777,1687
10/14/13,1787,1618
10/13/13,819,696
10/12/13,672,602
10/11/13,1216,1118
10/10/13,1659,1513
10/9/13,1839,1748
10/8/13,1484,1406
10/7/13,1453,1487
10/6/13,1216,954
10/5/13,1211,942
10/4/13,1679,1535
10/3/13,1670,1581
10/2/13,1243,1169
10/1/13,1413,1317
9/30/13,1165,1094
9/29/13,253,237
9/28/13,273,204
9/27/13,1107,1042
9/26/13,1874,1739
9/25/13,1567,1535
9/24/13,1650,1556
9/23/13,1167,1090
9/22/13,415,381
9/21/13,1074,858
9/20/13,1684,1650
9/19/13,2248,1870
9/18/13,2009,1900
9/17/13,1659,1625
9/16/13,1511,1554
9/15/13,561,463
9/14/13,982,850
9/13/13,1603,1629
9/12/13,2070,1975
9/11/13,2250,2161
9/10/13,2112,2133
9/9/13,1907,1986
9/8/13,1288,1043
9/7/13,1013,867
9/6/13,1145,1078
9/5/13,1178,1070
9/4/13,1893,1937
9/3/13,1475,1456
9/2/13,1278,1047
9/1/13,1263,1025
8/31/13,1204,1088
8/30/13,1714,1662
8/29/13,1230,1145
8/28/13,1751,1733
8/27/13,1963,1929
8/26/13,1633,1607
8/25/13,1091,968
8/24/13,1061,969
8/23/13,1725,1721
8/22/13,2128,2042
8/21/13,2169,2223
8/20/13,2195,2329
8/19/13,2012,2105
8/18/13,1264,1037
8/17/13,1142,1077
8/16/13,1886,1933
8/15/13,1689,1645
8/14/13,2134,2037
8/13/13,2229,2240
8/12/13,2039,1989
8/11/13,1269,1046
8/10/13,985,912
8/9/13,1909,1924
8/8/13,2175,2100
8/7/13,2290,2266
8/6/13,2345,2257
8/5/13,2184,2128
8/4/13,1338,1128
8/3/13,1238,1019
8/2/13,1310,1269
8/1/13,1897,1822
7/31/13,2090,2032
7/30/13,2226,2314
7/29/13,2048,2040
7/28/13,1078,902
7/27/13,1289,1212
7/26/13,1999,1964
7/25/13,2246,2227
7/24/13,2331,2363
7/23/13,2326,2278
7/22/13,2073,2101
7/21/13,1293,1132
7/20/13,1378,1133
7/19/13,1982,1933
7/18/13,2263,2123
7/17/13,2102,2069
7/16/13,2314,2279
7/15/13,2207,2211
7/14/13,1464,1176
7/13/13,1410,1288
7/12/13,1838,1858
7/11/13,2065,2035
7/10/13,2304,2303
7/9/13,2425,2391
7/8/13,2180,2167
7/7/13,1414,1181
7/6/13,1576,1346
7/5/13,1538,1550
7/4/13,1838,1911
7/3/13,2149,2106
7/2/13,2401,2295
7/1/13,2166,2041
6/30/13,1488,1258
6/29/13,1440,1292
6/28/13,2095,2004
6/27/13,1499,1429
6/26/13,1430,1474
6/25/13,1353,1296
6/24/13,1247,1185
6/23/13,912,732
6/22/13,1526,1617
6/21/13,1528,1482
6/20/13,1221,1250
6/19/13,1853,1802
6/18/13,2266,2260
6/17/13,2153,2099
6/16/13,1316,986
6/15/13,1436,1120
6/14/13,1690,1632
6/13/13,2011,1904
6/12/13,2038,1967
6/11/13,1883,1795
6/10/13,2215,2154
6/9/13,1183,898
6/8/13,1174,1005
6/7/13,1884,1792
6/6/13,2349,2290
6/5/13,2572,2466
6/4/13,2655,2466
6/3/13,2186,2106
6/2/13,1568,1108
6/1/13,1268,972
5/31/13,2296,2119
5/30/13,2022,1941
5/29/13,1618,1519
5/28/13,1744,1615
5/27/13,385,384
5/26/13,665,526
5/25/13,938,828
5/24/13,1732,1641
5/23/13,1550,1473
5/22/13,1467,1393
5/21/13,1264,1217
5/20/13,2402,2247
5/19/13,1186,950
5/18/13,1000,814
5/17/13,2735,2048
5/16/13,2157,2117
5/15/13,1984,1912
5/14/13,2345,2230
5/13/13,1713,1654
5/12/13,706,557
5/11/13,1388,1093
5/10/13,2586,2280
5/9/13,2378,2285
5/8/13,2558,2414
5/7/13,2653,2450
5/6/13,2594,2472
5/5/13,1658,1345
5/4/13,1666,1246
5/3/13,2297,2223
5/2/13,2535,2342
5/1/13,2615,2402
4/30/13,1757,1645
4/29/13,1376,1317
4/28/13,664,526
4/27/13,663,551
4/26/13,1784,1673
4/25/13,2185,1981
4/24/13,2287,2163
4/23/13,2003,1939
4/22/13,1920,1713
4/21/13,559,409
4/20/13,587,445
4/19/13,700,685
4/18/13,1019,953
4/17/13,1523,1416
4/16/13,1566,1510
4/15/13,1433,1254
4/14/13,812,652
4/13/13,486,360
4/12/13,1047,998
4/11/13,1284,1215
4/10/13,1059,1054
4/9/13,1504,1396
4/8/13,1334,1355
4/7/13,314,263
4/6/13,429,360
4/5/13,914,928
4/4/13,1016,991
4/3/13,1739,1747
4/2/13,1685,1602
4/1/13,1654,1594
3/31/13,1275,1088
3/30/13,1365,1132
3/29/13,1681,1526
3/28/13,1384,1322
3/27/13,1353,1264
3/26/13,1563,1452
3/25/13,1599,1560
3/24/13,766,619
3/23/13,971,781
3/22/13,928,934
3/21/13,963,961
3/20/13,767,740
3/19/13,1192,1120
3/18/13,1181,1200
3/17/13,745,550
3/16/13,595,468
3/15/13,1172,1183
3/14/13,1139,1063
3/13/13,935,959
3/12/13,994,986
3/11/13,1144,1106
3/10/13,594,452
3/9/13,1372,1058
3/8/13,1409,1330
3/7/13,1068,1082
3/6/13,1049,992
3/5/13,1205,1193
3/4/13,1464,1327
3/3/13,989,701
3/2/13,657,576
3/1/13,924,921
2/28/13,874,885
2/27/13,1163,1171
2/26/13,1253,1244
2/25/13,1077,1009
2/24/13,605,517
2/23/13,603,523
2/22/13,670,690
2/21/13,952,939
2/20/13,1142,1075
2/19/13,1333,1253
2/18/13,758,723
2/17/13,471,398
2/16/13,573,444
2/15/13,1206,1098
2/14/13,980,904
2/13/13,1050,1016
2/12/13,1082,1023
2/11/13,1076,1069
2/10/13,735,577
2/9/13,627,487
2/8/13,1119,1042
2/7/13,1115,1072
2/6/13,1016,979
2/5/13,1030,982
2/4/13,1174,1114
2/3/13,477,391
2/2/13,645,488
2/1/13,1092,1016
1/31/13,974,947
1/30/13,873,887
1/29/13,910,879
1/28/13,877,831
1/27/13,358,285
1/26/13,286,258
1/25/13,925,936
1/24/13,1003,952
1/23/13,896,871
1/22/13,984,981
1/21/13,644,632
1/20/13,467,334
1/19/13,421,339
1/18/13,810,775
1/17/13,883,894
1/16/13,970,980
1/15/13,1065,1001
1/14/13,934,935
1/13/13,335,224
1/12/13,341,336
1/11/13,804,766
1/10/13,935,875
1/9/13,697,650
1/8/13,781,797
1/7/13,968,925
1/6/13,392,314
1/5/13,403,316
1/4/13,836,876
1/3/13,890,913
1/2/13,904,931
1/1/13,344,334
12/31/12,546,440
12/30/12,375,320
12/29/12,249,238
12/28/12,631,626
12/27/12,573,575
12/26/12,430,415
12/25/12,50,48
12/24/12,304,270
12/23/12,253,188
12/22/12,263,230
12/21/12,605,627
12/20/12,526,551
12/19/12,496,524
12/18/12,862,840
12/17/12,747,745
12/16/12,202,149
12/15/12,258,205
12/14/12,894,815
12/13/12,1047,966
12/12/12,919,929
12/11/12,994,951
12/10/12,1070,1092
12/9/12,217,205
12/8/12,471,403
12/7/12,906,910
12/6/12,955,924
12/5/12,1180,1120
12/4/12,1021,990
12/3/12,932,936
12/2/12,294,233
12/1/12,338,296
11/30/12,786,804
11/29/12,954,890
11/28/12,1022,1012
11/27/12,1301,1246
11/26/12,1180,1178
11/25/12,566,452
11/24/12,448,397
11/23/12,168,187
11/22/12,325,229
11/21/12,668,702
11/20/12,884,857
11/19/12,475,492
11/18/12,219,173
11/17/12,348,292
11/16/12,1023,983
11/15/12,1304,1216
11/14/12,1294,1306
11/13/12,1050,1037
11/12/12,839,792
11/11/12,327,301
11/10/12,685,584
11/9/12,1251,1155
11/8/12,1355,1336
11/7/12,1406,1313
11/6/12,1287,1206
11/5/12,1430,1380
11/4/12,548,463
11/3/12,513,439
11/2/12,1345,1133
11/1/12,1061,1030
10/31/12,883,827
10/30/12,912,823
10/29/12,1146,1071
10/28/12,611,451
10/27/12,289,242
10/26/12,1039,1034
10/25/12,1361,1352
10/24/12,1250,1179
10/23/12,1263,1237
10/22/12,1088,1041
10/21/12,540,449
10/20/12,586,482
10/19/12,965,1012
10/18/12,1449,1474
10/17/12,1647,1596
10/16/12,1559,1477
10/15/12,1200,1073
10/14/12,427,271
10/13/12,415,351
10/12/12,1022,989
10/11/12,1579,1468
10/10/12,1648,1587
10/9/12,1759,1742
10/8/12,1829,1708
10/7/12,1191,951
10/6/12,1080,926
10/5/12,1558,1590
10/4/12,1708,1767
10/3/12,1760,1761
